Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
1688,0x2b8738,10,Shift_JIS,c:\\%s.std,"""c:\\%s.std"""
1689,0x2b8744,7,Shift_JIS,GLOBAL,"""GLOBAL"""
1690,0x2b874c,12,Shift_JIS,PARTS LOCAL,"""PARTS LOCAL"""
1691,0x2b8758,13,Shift_JIS,CHARA SPHERE,"""CHARA SPHERE"""
1692,0x2b8768,13,Shift_JIS,CHARA CENTER,"""CHARA CENTER"""
1693,0x2b8778,13,Shift_JIS,CHARA BOTTOM,"""CHARA BOTTOM"""
1694,0x2b8788,12,Shift_JIS,CHARA LOCAL,"""CHARA LOCAL"""
1695,0x2b8794,6,Shift_JIS,\\BEFF,"""\\BEFF"""
1696,0x2b879c,7,Shift_JIS,CREATE,"""CREATE"""
1697,0x2b87a4,5,Shift_JIS,INIT,"""INIT"""
1698,0x2b87ac,5,Shift_JIS,WAIT,"""WAIT"""
1699,0x2b87b4,5,Shift_JIS,WALK,"""WALK"""
1700,0x2b87bc,13,Shift_JIS,ATTACK(NEAR),"""ATTACK(NEAR)"""
1701,0x2b87cc,12,Shift_JIS,ATTACK(FAR),"""ATTACK(FAR)"""
1702,0x2b87d8,5,Shift_JIS,MOVE,"""MOVE"""
1703,0x2b87e0,6,Shift_JIS,HINSI,"""HINSI"""
1704,0x2b87e8,9,Shift_JIS,CRITICAL,"""CRITICAL"""
1705,0x2b87f4,14,Shift_JIS,HANGEKI(NEAR),"""HANGEKI(NEAR)"""
1706,0x2b8804,13,Shift_JIS,HANGEKI(FAR),"""HANGEKI(FAR)"""
1707,0x2b8814,7,Shift_JIS,DAMAGE,"""DAMAGE"""
1708,0x2b881c,7,Shift_JIS,BOUGYO,"""BOUGYO"""
1709,0x2b8824,6,Shift_JIS,KAIHI,"""KAIHI"""
1710,0x2b882c,4,Shift_JIS,DIE,"""DIE"""
1711,0x2b8830,8,Shift_JIS,FUKKATU,"""FUKKATU"""
